Row_ID,Store_ID,Year,Quarter,Total_Revenue,COGS,Profit
6048,775,2023,Q1,25577.32102,15439,10138.32102
6049,775,2023,Q1,42618.46142,20680,21938.46142
6050,775,2023,Q1,49203.5115,51173,-1969.488495
6060,776,2023,Q1,22626.97375,31851,-9224.026245
6061,776,2023,Q1,20321.00119,23250,-2928.998806
6062,776,2023,Q1,26543.20779,27364,-820.7922058
6072,778,2023,Q1,44724.31256,51100,-6375.687437
6073,778,2023,Q1,18981.03384,14835,4146.033845
6074,778,2023,Q1,46707.39498,40284,6423.394982
6084,779,2023,Q1,23031.02539,28425,-5393.974608
6085,779,2023,Q1,17862.1835,26155,-8292.816496
6086,779,2023,Q1,33838.17681,12432,21406.17681
6073,778,2023,Q1,18981.03384,16131,2850.033845
6074,778,2023,Q1,46707.39498,46885,-177.6050178
6027,773,2023,Q2,39950.32656,16981,22969.32656
6028,773,2023,Q2,28274.55658,10730,17544.55658
6029,773,2023,Q2,33224.22699,14035,19189.22699
6039,774,2023,Q2,11832.5495,14729,-2896.450502
6040,774,2023,Q2,40267.02643,32596,7671.026426
6041,774,2023,Q2,37628.32271,14068,23560.32271
6051,775,2023,Q2,40555.82159,32972,7583.821588
6052,775,2023,Q2,34273.83481,40117,-5843.165186
6053,775,2023,Q2,10462.59632,10215,247.5963194
6063,776,2023,Q2,42223.84451,46092,-3868.155486
6064,776,2023,Q2,43453.42132,24918,18535.42132
6065,776,2023,Q2,31235.20974,18989,12246.20974
6075,778,2023,Q2,45589.07757,48381,-2791.92243
6076,778,2023,Q2,40791.78216,33037,7754.782161
6077,778,2023,Q2,49557.94284,52846,-3288.057155
6087,779,2023,Q2,43057.88289,27643,15414.88289
6088,779,2023,Q2,47590.25039,35498,12092.25039
6089,779,2023,Q2,12797.86832,16450,-3652.131677
6096,24,2023,Q2,12562.4113,17099,-4536.588703
6097,24,2023,Q2,15620.72313,20463,-4842.276873
6098,24,2023,Q2,46574.72387,44586,1988.723875
6075,778,2023,Q2,45589.07757,20408,25181.07757
6076,778,2023,Q2,40791.78216,30325,10466.78216
6077,778,2023,Q2,49557.94284,36566,12991.94284
6,3,2023,Q3,30666.27749,39710,-9043.722508
7,3,2023,Q3,22388.76571,20134,2254.765714
8,3,2023,Q3,32215.48725,25033,7182.48725
18,5,2023,Q3,25767.30722,17102,8665.30722
19,5,2023,Q3,46981.39121,17212,29769.39121
20,5,2023,Q3,39123.6483,19313,19810.6483
30,6,2023,Q3,16723.8098,17445,-721.1902026
31,6,2023,Q3,42256.45856,16121,26135.45856
32,6,2023,Q3,33035.33522,19463,13572.33522
42,7,2023,Q3,10178.4896,13112,-2933.510399
43,7,2023,Q3,18624.38804,17989,635.3880448
44,7,2023,Q3,15947.2339,22821,-6873.766101
54,8,2023,Q3,26224.29671,35355,-9130.70329
55,8,2023,Q3,31353.32009,14026,17327.32009
56,8,2023,Q3,40261.58397,22117,18144.58397
66,9,2023,Q3,12679.16457,22364,-9684.835425
67,9,2023,Q3,47247.90112,13613,33634.90112
68,9,2023,Q3,48172.75349,35114,13058.75349
78,11,2023,Q3,47598.23343,47129,469.2334316
79,11,2023,Q3,14645.55969,21022,-6376.440306
80,11,2023,Q3,40794.70333,11748,29046.70333
90,13,2023,Q3,12110.77892,15131,-3020.221078
91,13,2023,Q3,15047.54435,21047,-5999.455648
92,13,2023,Q3,34949.41824,40613,-5663.581761
102,14,2023,Q3,28785.07791,25702,3083.077913
103,14,2023,Q3,19396.07275,14827,4569.072745
104,14,2023,Q3,24502.52923,22884,1618.529233
114,15,2023,Q3,31797.11048,27938,3859.110475
115,15,2023,Q3,23162.40348,27311,-4148.596524
116,15,2023,Q3,23614.10194,31440,-7825.898057
126,16,2023,Q3,27269.51875,29428,-2158.481253
127,16,2023,Q3,44781.01319,25294,19487.01319
128,16,2023,Q3,47119.531,19648,27471.531
138,17,2023,Q3,16061.15448,22072,-6010.845518
139,17,2023,Q3,44650.1625,52559,-7908.837497
140,17,2023,Q3,34974.96384,27721,7253.963845
150,18,2023,Q3,43554.03649,41659,1895.036486
151,18,2023,Q3,23965.09304,17610,6355.093044
152,18,2023,Q3,46910.57268,39766,7144.572675
162,19,2023,Q3,25243.08974,32710,-7466.910256
163,19,2023,Q3,33800.69476,24193,9607.694762
164,19,2023,Q3,45256.9547,19639,25617.9547
174,20,2023,Q3,13657.39862,14377,-719.6013768
175,20,2023,Q3,18480.32083,11498,6982.320834
176,20,2023,Q3,14998.33531,19444,-4445.664693
186,21,2023,Q3,20352.61738,11008,9344.617376
187,21,2023,Q3,38258.17627,27813,10445.17627
188,21,2023,Q3,46599.48008,25571,21028.48008
198,22,2023,Q3,12012.3251,10507,1505.3251
199,22,2023,Q3,12481.32285,10978,1503.322852
200,22,2023,Q3,12257.41813,13804,-1546.58187
210,23,2023,Q3,18127.81138,13227,4900.811378
211,23,2023,Q3,10371.09414,13150,-2778.905861
212,23,2023,Q3,28971.79844,17285,11686.79844
222,24,2023,Q3,24343.72406,12588,11755.72406
223,24,2023,Q3,23791.20613,17095,6696.206132
224,24,2023,Q3,21545.2153,19822,1723.215298
234,25,2023,Q3,23182.83067,24116,-933.1693251
235,25,2023,Q3,45477.65258,42239,3238.652579
236,25,2023,Q3,15212.40986,23269,-8056.590142
246,26,2023,Q3,33704.27922,25681,8023.279222
247,26,2023,Q3,32475.43377,34632,-2156.566233
248,26,2023,Q3,13821.17783,16868,-3046.822166
258,27,2023,Q3,35488.82813,35613,-124.1718699
259,27,2023,Q3,40040.19903,23853,16187.19903
260,27,2023,Q3,47408.96688,11923,35485.96688
270,28,2023,Q3,46284.08498,44925,1359.084978
271,28,2023,Q3,48360.35934,21698,26662.35934
272,28,2023,Q3,22463.91659,14438,8025.916589
282,29,2023,Q3,19343.38452,16999,2344.384518
283,29,2023,Q3,30681.3553,11741,18940.3553
284,29,2023,Q3,37531.33219,14846,22685.33219
294,30,2023,Q3,47135.50509,12001,35134.50509
295,30,2023,Q3,27794.24787,33818,-6023.752132
296,30,2023,Q3,21280.74502,23919,-2638.254977
306,31,2023,Q3,37937.05753,18486,19451.05753
307,31,2023,Q3,40730.88285,26028,14702.88285
308,31,2023,Q3,31209.61392,10121,21088.61392
318,32,2023,Q3,38998.69593,44709,-5710.304074
319,32,2023,Q3,32116.89,19657,12459.89
320,32,2023,Q3,10820.79074,19673,-8852.209257
